,userId,movieId,rating,original_title
0,1,110,1.0,Three Colors: Red
1,1,147,4.5,The 400 Blows
2,1,858,5.0,Sleepless in Seattle
3,1,1246,5.0,Rocky Balboa
4,1,1968,4.0,Fools Rush In
5,1,2762,4.5,Young and Innocent
6,1,2959,4.0,License to Wed
7,1,4226,4.0,Shriek If You Know What I Did Last Friday the Thirteenth
8,1,54503,3.5,The Mystery of Chess Boxing
9,1,58559,4.0,Confession of a Child of the Century
10,1,96821,5.0,Caesar Must Die
11,2,5,3.0,Four Rooms
12,2,25,3.0,Jarhead
13,2,58,3.0,Pirates of the Caribbean: Dead Man's Chest
14,2,64,4.0,Talk to Her
15,2,79,4.0,It
16,2,141,3.0,Donnie Darko
17,2,260,4.0,The 39 Steps
18,2,339,5.0,Night on Earth
19,2,377,4.0,A Nightmare on Elm Street
20,2,605,4.0,The Matrix Revolutions
21,2,628,4.0,Interview with the Vampire
22,2,648,4.0,Beauty and the Beast
23,2,762,3.0,Monty Python and the Holy Grail
24,2,780,3.0,The Passion of Joan of Arc
25,2,786,1.0,Almost Famous
26,2,788,1.0,Mrs. Doubtfire
27,2,1552,2.0,Parenthood
28,3,858,4.0,Sleepless in Seattle
29,3,1968,3.0,Fools Rush In
30,3,480,3.0,Monsoon Wedding
31,3,500,2.0,Reservoir Dogs
32,3,527,4.0,Once Were Warriors
33,3,1092,3.0,The Third Man
34,3,3101,3.0,I Love You to Death
35,3,4474,3.0,My Super Ex-Girlfriend
36,4,2762,5.0,Young and Innocent
37,4,4226,3.0,Shriek If You Know What I Did Last Friday the Thirteenth
38,4,648,4.0,Beauty and the Beast
39,4,223,4.0,Rebecca
40,4,415,4.0,Batman & Robin
41,4,1422,4.0,The Departed
42,5,858,5.0,Sleepless in Seattle
43,7,2959,4.5,License to Wed
44,7,54503,3.5,The Mystery of Chess Boxing
45,7,58559,5.0,Confession of a Child of the Century
46,8,1968,3.0,Fools Rush In
47,8,2762,2.0,Young and Innocent
48,9,1246,4.5,Rocky Balboa
49,9,2762,4.0,Young and Innocent
50,9,4226,4.0,Shriek If You Know What I Did Last Friday the Thirteenth
51,11,110,3.5,Three Colors: Red
52,11,2959,2.5,License to Wed
53,11,4226,2.5,Shriek If You Know What I Did Last Friday the Thirteenth
54,11,54503,4.0,The Mystery of Chess Boxing
55,11,58559,4.5,Confession of a Child of the Century
56,11,260,3.0,The 39 Steps
57,11,480,3.5,Monsoon Wedding
58,11,500,4.0,Reservoir Dogs
59,11,527,4.5,Once Were Warriors
60,12,858,4.0,Sleepless in Seattle
61,12,1246,5.0,Rocky Balboa
62,12,2762,3.0,Young and Innocent
63,12,260,5.0,The 39 Steps
64,12,1552,1.0,Parenthood
65,12,527,5.0,Once Were Warriors
66,12,223,5.0,Rebecca
67,14,2959,3.0,License to Wed
68,15,2959,4.0,License to Wed
69,15,58559,5.0,Confession of a Child of the Century
70,15,260,1.5,The 39 Steps
71,16,2959,5.0,License to Wed
72,16,4226,4.5,Shriek If You Know What I Did Last Friday the Thirteenth
73,16,260,3.5,The 39 Steps
74,16,480,4.5,Monsoon Wedding
75,17,4226,4.0,Shriek If You Know What I Did Last Friday the Thirteenth
76,20,858,4.5,Sleepless in Seattle
77,20,2959,4.0,License to Wed
78,20,58559,5.0,Confession of a Child of the Century
79,20,260,4.0,The 39 Steps
80,20,780,3.0,The Passion of Joan of Arc
81,20,480,4.0,Monsoon Wedding
82,20,1422,2.5,The Departed
83,22,110,5.0,Three Colors: Red
84,22,260,4.0,The 39 Steps
85,23,527,4.0,Once Were Warriors
86,24,110,5.0,Three Colors: Red
87,24,147,4.0,The 400 Blows
88,24,858,5.0,Sleepless in Seattle
89,24,1246,4.0,Rocky Balboa
90,24,1968,4.0,Fools Rush In
91,24,2762,4.0,Young and Innocent
92,24,2959,4.0,License to Wed
93,24,25,3.0,Jarhead
94,24,58,5.0,Pirates of the Caribbean: Dead Man's Chest
95,24,260,5.0,The 39 Steps
96,24,377,4.0,A Nightmare on Elm Street
97,24,648,3.0,Beauty and the Beast
98,24,788,4.0,Mrs. Doubtfire
99,24,480,4.0,Monsoon Wedding
100,24,527,5.0,Once Were Warriors
101,24,3101,4.0,I Love You to Death
102,25,339,3.0,Night on Earth
103,25,480,3.0,Monsoon Wedding
104,27,858,5.0,Sleepless in Seattle
105,27,1968,3.5,Fools Rush In
106,27,2762,3.0,Young and Innocent
107,27,2959,0.5,License to Wed
108,27,260,5.0,The 39 Steps
109,28,858,4.5,Sleepless in Seattle
110,28,2959,4.0,License to Wed
111,28,4226,4.0,Shriek If You Know What I Did Last Friday the Thirteenth
112,28,58559,4.5,Confession of a Child of the Century
113,28,260,4.5,The 39 Steps
114,28,527,4.5,Once Were Warriors
115,29,110,3.0,Three Colors: Red
116,29,527,4.0,Once Were Warriors
117,30,110,5.0,Three Colors: Red
118,30,858,5.0,Sleepless in Seattle
119,30,2762,5.0,Young and Innocent
120,30,2959,4.0,License to Wed
121,30,260,5.0,The 39 Steps
122,30,780,4.0,The Passion of Joan of Arc
123,30,788,4.0,Mrs. Doubtfire
124,30,480,5.0,Monsoon Wedding
125,30,527,5.0,Once Were Warriors
126,32,58559,3.5,Confession of a Child of the Century
127,32,260,5.0,The 39 Steps
128,32,527,2.5,Once Were Warriors
129,33,110,3.0,Three Colors: Red
130,33,377,5.0,A Nightmare on Elm Street
131,33,780,5.0,The Passion of Joan of Arc
132,33,480,5.0,Monsoon Wedding
133,34,110,5.0,Three Colors: Red
134,34,858,3.0,Sleepless in Seattle
135,34,1968,1.0,Fools Rush In
136,34,2762,2.0,Young and Innocent
137,34,2959,5.0,License to Wed
138,34,4226,5.0,Shriek If You Know What I Did Last Friday the Thirteenth
139,34,58559,4.0,Confession of a Child of the Century
140,34,260,5.0,The 39 Steps
141,34,377,3.0,A Nightmare on Elm Street
142,34,648,3.0,Beauty and the Beast
143,34,780,5.0,The Passion of Joan of Arc
144,34,1552,2.0,Parenthood
145,34,527,5.0,Once Were Warriors
146,35,1092,3.0,The Third Man
147,37,858,5.0,Sleepless in Seattle
148,37,2762,3.5,Young and Innocent
149,37,2959,3.5,License to Wed
150,37,58559,3.5,Confession of a Child of the Century
151,37,260,3.5,The 39 Steps
152,37,780,3.0,The Passion of Joan of Arc
153,37,500,2.5,Reservoir Dogs
154,37,527,4.0,Once Were Warriors
155,37,3101,3.0,I Love You to Death
156,40,5,4.0,Four Rooms
157,40,260,4.0,The 39 Steps
158,40,628,4.0,Interview with the Vampire
159,40,648,3.0,Beauty and the Beast
160,40,780,5.0,The Passion of Joan of Arc
161,40,786,3.0,Almost Famous
162,41,2959,5.0,License to Wed
163,41,58559,4.5,Confession of a Child of the Century
164,41,96821,3.0,Caesar Must Die
165,43,1246,3.0,Rocky Balboa
166,43,1968,4.0,Fools Rush In
167,43,2959,5.0,License to Wed
168,43,260,3.5,The 39 Steps
169,43,648,3.0,Beauty and the Beast
170,43,780,3.5,The Passion of Joan of Arc
171,43,788,4.0,Mrs. Doubtfire
172,43,480,3.0,Monsoon Wedding
