,userId,similar_user_1,similar_user_2,similar_user_3,similar_user_4,similar_user_5
0,1.0,340.0,719.0,672.0,1136.0,1.0
11,2.0,261.0,191.0,400.0,533.0,2.0
28,3.0,24.0,346.0,201.0,150.0,3.0
36,4.0,229.0,392.0,682.0,611.0,4.0
42,5.0,37.0,461.0,727.0,661.0,5.0
43,7.0,956.0,544.0,981.0,736.0,7.0
46,8.0,1076.0,1122.0,766.0,1136.0,8.0
48,9.0,1136.0,120.0,132.0,778.0,9.0
51,11.0,340.0,860.0,1104.0,457.0,11.0
60,12.0,150.0,483.0,24.0,1095.0,12.0
67,14.0,956.0,332.0,1145.0,514.0,14.0
68,15.0,245.0,20.0,981.0,956.0,15.0
71,16.0,76.0,1166.0,434.0,544.0,16.0
75,17.0,778.0,120.0,251.0,63.0,17.0
76,20.0,981.0,702.0,922.0,330.0,20.0
83,22.0,262.0,801.0,279.0,153.0,22.0
85,23.0,854.0,222.0,661.0,151.0,23.0
86,24.0,150.0,346.0,483.0,682.0,24.0
102,25.0,940.0,1205.0,25.0,546.0,25.0
104,27.0,362.0,235.0,887.0,614.0,27.0
109,28.0,567.0,965.0,746.0,1002.0,28.0
115,29.0,768.0,151.0,115.0,29.0,29.0
117,30.0,56.0,931.0,150.0,702.0,30.0
126,32.0,860.0,567.0,1156.0,578.0,32.0
129,33.0,1060.0,1119.0,1092.0,882.0,33.0
133,34.0,834.0,429.0,340.0,231.0,34.0
146,35.0,971.0,682.0,229.0,611.0,35.0
147,37.0,332.0,702.0,834.0,981.0,37.0
156,40.0,40.0,317.0,366.0,56.0,40.0
162,41.0,332.0,1145.0,981.0,736.0,41.0
165,43.0,836.0,930.0,741.0,392.0,43.0
174,44.0,836.0,191.0,1122.0,971.0,44.0
175,46.0,741.0,368.0,229.0,1177.0,46.0
189,47.0,682.0,120.0,483.0,47.0,47.0
198,49.0,231.0,49.0,392.0,368.0,49.0
215,50.0,702.0,775.0,1145.0,931.0,50.0
220,51.0,611.0,1156.0,340.0,741.0,51.0
221,52.0,979.0,99.0,261.0,991.0,52.0
226,53.0,392.0,778.0,229.0,652.0,53.0
230,54.0,741.0,1041.0,559.0,368.0,54.0
234,55.0,741.0,392.0,231.0,682.0,55.0
237,56.0,1104.0,741.0,834.0,1156.0,56.0
250,58.0,1120.0,58.0,431.0,882.0,58.0
256,59.0,321.0,878.0,674.0,1177.0,59.0
260,60.0,741.0,392.0,150.0,229.0,60.0
261,62.0,392.0,231.0,229.0,62.0,62.0
276,63.0,271.0,1095.0,1155.0,834.0,63.0
287,64.0,390.0,24.0,150.0,201.0,64.0
293,65.0,741.0,231.0,887.0,150.0,65.0
307,66.0,971.0,611.0,682.0,231.0,66.0
308,67.0,468.0,686.0,931.0,1012.0,67.0
314,68.0,761.0,924.0,390.0,340.0,68.0
324,69.0,611.0,1122.0,1136.0,362.0,69.0
327,70.0,741.0,778.0,340.0,150.0,70.0
328,72.0,151.0,120.0,346.0,611.0,72.0
330,73.0,506.0,886.0,346.0,766.0,73.0
332,74.0,225.0,261.0,191.0,421.0,74.0
341,75.0,978.0,56.0,806.0,702.0,75.0
350,76.0,981.0,702.0,965.0,332.0,76.0
356,77.0,229.0,741.0,1136.0,392.0,77.0
358,79.0,1136.0,340.0,1122.0,392.0,79.0
366,80.0,853.0,298.0,80.0,58.0,80.0
369,81.0,663.0,403.0,667.0,843.0,81.0
370,82.0,930.0,1178.0,56.0,392.0,82.0
378,83.0,719.0,503.0,956.0,340.0,83.0
381,84.0,229.0,741.0,1136.0,766.0,84.0
382,86.0,952.0,129.0,543.0,451.0,86.0
384,87.0,261.0,338.0,395.0,979.0,87.0
390,88.0,853.0,88.0,427.0,940.0,88.0
393,89.0,1031.0,993.0,89.0,296.0,89.0
396,90.0,392.0,733.0,368.0,741.0,90.0
397,91.0,191.0,1066.0,225.0,741.0,91.0
404,93.0,971.0,682.0,836.0,741.0,93.0
406,94.0,229.0,887.0,483.0,132.0,94.0
409,95.0,220.0,911.0,114.0,1027.0,95.0
410,97.0,346.0,390.0,567.0,24.0,97.0
415,98.0,1155.0,231.0,429.0,931.0,98.0
429,99.0,52.0,979.0,395.0,646.0,99.0
433,101.0,2.0,191.0,1066.0,900.0,101.0
439,103.0,1130.0,431.0,1120.0,534.0,103.0
445,105.0,340.0,981.0,778.0,1069.0,105.0
451,106.0,340.0,672.0,736.0,1136.0,106.0
456,107.0,893.0,229.0,1117.0,836.0,107.0
458,108.0,663.0,667.0,403.0,843.0,108.0
459,109.0,492.0,109.0,461.0,24.0,109.0
461,110.0,76.0,1084.0,110.0,471.0,110.0
463,111.0,1184.0,965.0,702.0,1145.0,111.0
469,112.0,971.0,733.0,400.0,229.0,112.0
471,113.0,663.0,403.0,667.0,843.0,113.0
472,114.0,220.0,911.0,114.0,1027.0,114.0
473,115.0,24.0,576.0,860.0,1010.0,115.0
478,117.0,908.0,956.0,16.0,1145.0,117.0
480,118.0,118.0,261.0,790.0,56.0,118.0
484,119.0,346.0,731.0,611.0,120.0,119.0
487,120.0,483.0,611.0,971.0,682.0,120.0
506,121.0,663.0,403.0,667.0,843.0,121.0
507,123.0,887.0,65.0,1122.0,150.0,123.0
510,125.0,611.0,887.0,125.0,63.0,125.0
514,126.0,882.0,191.0,533.0,740.0,126.0
518,127.0,431.0,1184.0,368.0,882.0,127.0
521,128.0,427.0,1011.0,498.0,58.0,128.0
522,129.0,24.0,56.0,1156.0,150.0,129.0
526,131.0,882.0,325.0,619.0,1010.0,131.0
537,132.0,229.0,120.0,483.0,392.0,132.0
553,133.0,434.0,392.0,778.0,825.0,133.0
557,136.0,330.0,332.0,956.0,471.0,136.0
559,138.0,567.0,313.0,429.0,828.0,138.0
563,139.0,853.0,427.0,88.0,990.0,139.0
565,140.0,736.0,330.0,471.0,956.0,140.0
568,141.0,24.0,340.0,1179.0,506.0,141.0
570,142.0,1010.0,1012.0,191.0,733.0,142.0
581,143.0,37.0,727.0,461.0,450.0,143.0
582,144.0,56.0,741.0,682.0,611.0,144.0
583,146.0,457.0,825.0,848.0,567.0,146.0
587,147.0,332.0,719.0,479.0,956.0,147.0
591,148.0,212.0,737.0,644.0,148.0,148.0
593,149.0,737.0,149.0,644.0,148.0,149.0
595,150.0,741.0,229.0,368.0,24.0,150.0
616,151.0,24.0,623.0,931.0,507.0,151.0
626,153.0,703.0,1052.0,1213.0,953.0,153.0
631,155.0,924.0,286.0,502.0,506.0,155.0
633,156.0,611.0,120.0,971.0,346.0,156.0
636,157.0,468.0,619.0,576.0,30.0,157.0
641,158.0,850.0,158.0,971.0,368.0,158.0
651,159.0,790.0,737.0,159.0,56.0,159.0
653,160.0,392.0,741.0,229.0,836.0,160.0
661,161.0,37.0,461.0,727.0,450.0,161.0
663,164.0,1156.0,20.0,981.0,922.0,164.0
667,166.0,825.0,332.0,567.0,924.0,166.0
672,167.0,741.0,778.0,340.0,150.0,167.0
673,168.0,971.0,56.0,682.0,559.0,168.0
675,170.0,1002.0,702.0,981.0,37.0,170.0
680,173.0,212.0,955.0,173.0,852.0,173.0
684,174.0,461.0,132.0,120.0,611.0,174.0
687,175.0,220.0,1019.0,701.0,911.0,175.0
688,176.0,882.0,533.0,445.0,176.0,176.0
695,178.0,544.0,981.0,1156.0,878.0,178.0
699,179.0,366.0,487.0,1164.0,879.0,179.0
709,181.0,559.0,728.0,733.0,971.0,181.0
711,184.0,382.0,426.0,898.0,27.0,184.0
713,187.0,332.0,672.0,1002.0,235.0,187.0
721,188.0,261.0,191.0,882.0,1066.0,188.0
727,190.0,854.0,222.0,661.0,151.0,190.0
728,191.0,1066.0,1010.0,225.0,882.0,191.0
747,192.0,1120.0,455.0,192.0,325.0,192.0
754,193.0,741.0,682.0,1041.0,368.0,193.0
770,194.0,422.0,222.0,661.0,151.0,194.0
771,196.0,191.0,2.0,682.0,533.0,196.0
776,198.0,58.0,853.0,431.0,1119.0,198.0
778,200.0,332.0,736.0,229.0,778.0,200.0
781,201.0,682.0,150.0,741.0,368.0,201.0
800,202.0,56.0,741.0,682.0,611.0,202.0
801,204.0,204.0,727.0,362.0,56.0,204.0
804,205.0,56.0,741.0,682.0,611.0,205.0
805,206.0,1182.0,661.0,1029.0,825.0,206.0
808,210.0,210.0,1071.0,848.0,111.0,210.0
811,211.0,924.0,1003.0,1053.0,211.0,211.0
814,212.0,860.0,436.0,111.0,713.0,212.0
819,213.0,229.0,741.0,1136.0,362.0,213.0
821,215.0,352.0,56.0,1156.0,878.0,215.0
826,217.0,1047.0,924.0,1178.0,1104.0,217.0
832,218.0,392.0,340.0,1136.0,218.0,218.0
843,219.0,971.0,741.0,1122.0,346.0,219.0
844,220.0,139.0,911.0,175.0,1180.0,220.0
846,222.0,766.0,1076.0,527.0,24.0,222.0
852,224.0,58.0,1119.0,191.0,882.0,224.0
854,225.0,191.0,1066.0,882.0,1104.0,225.0
865,227.0,882.0,158.0,227.0,1130.0,227.0
871,228.0,56.0,790.0,1100.0,857.0,228.0
875,229.0,368.0,971.0,49.0,682.0,229.0
898,230.0,368.0,741.0,483.0,150.0,230.0
909,231.0,231.0,392.0,340.0,1069.0,231.0
932,232.0,422.0,222.0,661.0,151.0,232.0
933,233.0,20.0,581.0,332.0,1065.0,233.0
934,234.0,332.0,340.0,860.0,567.0,234.0
940,235.0,235.0,229.0,1095.0,1136.0,235.0
950,236.0,229.0,825.0,368.0,483.0,236.0
962,237.0,229.0,719.0,218.0,736.0,237.0
964,240.0,611.0,1156.0,340.0,741.0,240.0
965,241.0,663.0,403.0,667.0,843.0,241.0
966,242.0,332.0,1145.0,981.0,471.0,242.0
968,245.0,981.0,245.0,340.0,544.0,245.0
974,246.0,1122.0,1076.0,340.0,682.0,246.0
976,247.0,514.0,567.0,981.0,330.0,247.0
981,248.0,400.0,1010.0,682.0,366.0,248.0
987,249.0,567.0,457.0,848.0,1145.0,249.0
991,250.0,741.0,682.0,931.0,150.0,250.0
1000,251.0,229.0,611.0,824.0,778.0,251.0
1017,252.0,663.0,667.0,403.0,843.0,252.0
1018,253.0,741.0,799.0,150.0,1076.0,253.0
1022,254.0,971.0,741.0,1122.0,346.0,254.0
1023,255.0,1184.0,887.0,1095.0,825.0,255.0
1032,256.0,611.0,1156.0,340.0,741.0,256.0
1033,260.0,663.0,403.0,667.0,843.0,260.0
1034,261.0,1164.0,1066.0,1010.0,772.0,261.0
1049,262.0,22.0,801.0,353.0,153.0,262.0
1051,264.0,611.0,24.0,120.0,483.0,264.0
1052,267.0,825.0,1155.0,429.0,834.0,267.0
1064,268.0,611.0,1156.0,340.0,741.0,268.0
1065,269.0,741.0,392.0,778.0,229.0,269.0
1073,271.0,1095.0,63.0,1155.0,931.0,271.0
1086,273.0,1156.0,56.0,1104.0,922.0,273.0
1093,274.0,971.0,741.0,1122.0,346.0,274.0
1094,275.0,422.0,222.0,661.0,346.0,275.0
1095,277.0,368.0,150.0,799.0,436.0,277.0
1097,279.0,24.0,1010.0,661.0,346.0,279.0
1104,280.0,362.0,65.0,887.0,1136.0,280.0
1108,282.0,261.0,971.0,533.0,400.0,282.0
1112,283.0,283.0,1087.0,516.0,46.0,283.0
1114,284.0,506.0,825.0,251.0,284.0,284.0
1121,285.0,778.0,120.0,251.0,63.0,285.0
1122,286.0,502.0,924.0,636.0,1182.0,286.0
1125,287.0,346.0,611.0,971.0,120.0,287.0
1126,289.0,741.0,392.0,1136.0,1156.0,289.0
1127,290.0,56.0,741.0,682.0,611.0,290.0
1128,292.0,1142.0,955.0,173.0,11.0,292.0
1130,294.0,132.0,229.0,392.0,611.0,294.0
1138,295.0,340.0,1145.0,567.0,1182.0,295.0
1142,296.0,24.0,661.0,56.0,828.0,296.0
1150,298.0,58.0,298.0,1111.0,853.0,298.0
1154,301.0,663.0,403.0,667.0,843.0,301.0
1155,302.0,509.0,302.0,599.0,670.0,302.0
1157,303.0,567.0,837.0,120.0,514.0,303.0
1162,306.0,882.0,740.0,445.0,191.0,306.0
1170,308.0,150.0,741.0,24.0,392.0,308.0
1180,311.0,971.0,682.0,611.0,231.0,311.0
1181,312.0,834.0,1166.0,63.0,271.0,312.0
1191,313.0,567.0,1002.0,340.0,965.0,313.0
1198,314.0,956.0,1145.0,117.0,514.0,314.0
1199,316.0,741.0,682.0,533.0,836.0,316.0
1202,317.0,1034.0,261.0,1212.0,366.0,317.0
1211,318.0,468.0,882.0,1104.0,931.0,318.0
1216,319.0,772.0,56.0,468.0,429.0,319.0
1223,320.0,533.0,971.0,1066.0,1010.0,320.0
1230,321.0,1114.0,930.0,46.0,878.0,321.0
1242,322.0,690.0,882.0,390.0,1179.0,322.0
1246,323.0,836.0,1041.0,930.0,741.0,323.0
1254,324.0,451.0,952.0,1108.0,324.0,324.0
1256,325.0,682.0,150.0,368.0,201.0,325.0
1267,326.0,65.0,741.0,150.0,1124.0,326.0
1269,329.0,245.0,20.0,587.0,981.0,329.0
1272,330.0,1184.0,778.0,672.0,1069.0,330.0
1284,331.0,514.0,567.0,981.0,1002.0,331.0
1289,332.0,340.0,741.0,567.0,825.0,332.0
1304,334.0,719.0,340.0,825.0,567.0,334.0
1310,335.0,611.0,1156.0,340.0,741.0,335.0
1311,337.0,543.0,451.0,1097.0,337.0,337.0
1314,338.0,979.0,991.0,261.0,418.0,338.0
1320,339.0,400.0,971.0,533.0,261.0,339.0
1324,340.0,392.0,231.0,741.0,778.0,340.0
1345,341.0,261.0,682.0,971.0,836.0,341.0
1355,342.0,937.0,1041.0,368.0,733.0,342.0
1363,343.0,882.0,829.0,346.0,24.0,343.0
1368,344.0,20.0,212.0,471.0,981.0,344.0
1370,346.0,24.0,150.0,971.0,682.0,346.0
1389,348.0,825.0,348.0,1069.0,231.0,348.0
1400,349.0,229.0,741.0,766.0,1136.0,349.0
1401,350.0,427.0,498.0,1011.0,58.0,350.0
1402,352.0,981.0,930.0,544.0,878.0,352.0
1410,353.0,576.0,1122.0,65.0,799.0,353.0
1418,354.0,523.0,1156.0,56.0,24.0,354.0
1425,358.0,332.0,117.0,1145.0,514.0,358.0
1426,359.0,523.0,468.0,971.0,390.0,359.0
1434,360.0,503.0,544.0,436.0,360.0,360.0
1439,361.0,1117.0,436.0,713.0,76.0,361.0
1442,362.0,150.0,741.0,231.0,1136.0,362.0
1453,363.0,332.0,37.0,965.0,752.0,363.0
1458,364.0,427.0,498.0,364.0,1011.0,364.0
1460,365.0,56.0,490.0,1100.0,953.0,365.0
1465,366.0,179.0,487.0,1034.0,879.0,366.0
1477,368.0,741.0,229.0,931.0,231.0,368.0
1497,370.0,346.0,611.0,24.0,120.0,370.0
